Player,omega,se,ca,retention,fd,delta_fv,owner_share_after,owner_terminal_delta,owner_cash_delta,net,win_delta,cf_delta,market_value,skill_z
Kelsey Mitchell,0.0,0.47223395229062887,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.405827456882475,0.9930168198419389
Kelsey Mitchell,0.005,0.47223395229062887,0.042669305589294805,0.07083509284359432,2.6748449509724592,4.684926419347927,0.995,3.3215017872511794,2.6748449509724592,5.996346738223639,0.010326432573714687,2.6748449509724592,7.405827456882475,0.9930168198419389
Kelsey Mitchell,0.01,0.47223395229062887,0.11376464566803247,0.10017594899136846,5.3496899019449184,7.341329690050432,0.99,4.5879163931498965,5.3496899019449184,9.937606295094815,0.027532272356881726,5.3496899019449184,7.405827456882475,0.9930168198419389
Kelsey Mitchell,0.015,0.47223395229062887,0.09642627310004448,0.12268997976396394,8.024534852917379,8.41631021783477,0.985,4.27006556456729,8.024534852917379,12.294600417484668,0.023336199025278406,8.024534852917379,7.405827456882475,0.9930168198419389
Kelsey Mitchell,0.02,0.47223395229062887,0.03047524677907401,0.14167018568718864,10.699379803889837,8.634683755742346,0.98,3.101990080627502,10.699379803889837,13.801369884517339,0.007375338705075574,10.699379803889837,7.405827456882475,0.9930168198419389
Aliyah Boston,0.0,0.022277083903996648,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,4.760993011431092,-1.2092767127054491
Aliyah Boston,0.005,0.022277083903996648,-0.0024512397588638346,0.003341562585599497,1.7195807210451073,0.16118678803503542,0.995,-1.1796191459051784,1.7195807210451073,0.5399615751399289,-0.012575330233282294,1.7195807210451073,4.760993011431092,-1.2092767127054491
Aliyah Boston,0.01,0.022277083903996648,-0.006535480687187492,0.0047256831280733155,3.4391614420902146,0.18682922576181146,0.99,-2.495039066495792,3.4391614420902146,0.9441223755944224,-0.03352826975714324,3.4391614420902146,4.760993011431092,-1.2092767127054491
Aliyah Boston,0.015,0.022277083903996648,-0.00553943663149728,0.005787756174929554,5.158742163135322,0.2618472576955126,0.985,-3.7620804511698793,5.158742163135322,1.396661711965443,-0.028418372660415376,5.158742163135322,4.760993011431092,-1.2092767127054491
Aliyah Boston,0.02,0.022277083903996648,-0.0017507230439858632,0.006683125171198994,6.878322884180429,0.36460711281821107,0.98,-5.002685029438169,6.878322884180429,1.8756378547422603,-0.008981545091837103,6.878322884180429,4.760993011431092,-1.2092767127054491
